mH2S	40.C.==>0.0M	...==>4M	...==>6M	120.C.==>0.0M	...==>4M	...==>6M # M_NaCl
-1	-1
#
-1				-1
#
0.129		3.38
0.137		3.59
0.329		8.02
0.419		10.31
0.509		12.45
0.712		17.34
0.857		20.84
0.982		24.34
#	
0.101			2.95
0.163			4.75
0.296			8.16
0.329			9.27
0.552			16.01
0.584			17.39
0.602			17.51
0.783			23.29
0.872			26.56
#	
0.076					6.07
0.306					19.30
0.31					19.38
0.667					40.46
1.056					65.71
1.26					82.19
1.391					95.73
#		
0.016						2.45
0.141						10.79
0.312						22.39
0.312						22.41
0.48						34.60
0.616						44.69
0.938						73.01
1.129						94.85








