Days	A_Cs	Flux
symbol_size	2
y_axis	2	1
1.00		0.000E+00
2.00	0.000E+00	
3.00		 
4.00	0.000E+00	 
5.50		 
7.00	0.000E+00	 
8.00		 
9.00	0.000E+00	 
10.00		 
11.00	0.000E+00	 
12.50		 
13.99	0.000E+00	 
15.00		 
16.00	0.000E+00	 
17.00		 
18.00	0.000E+00	 
19.50		 
20.99	0.000E+00	 
22.00		 
22.99	0.000E+00	 
24.00		 
25.00	0.000E+00	 
26.50		 
27.99	0.000E+00	 
29.00		 
30.00	0.000E+00	 
31.00		 
32.00	0.000E+00	 
33.50		 
35.00	0.000E+00	 
36.00		 
37.00	0.000E+00	 
38.00		 
39.00	0.000E+00	 
40.50		 
42.00	0.000E+00	 
43.00		 
44.00	0.000E+00	 
45.00		 
46.00	0.000E+00	 
47.50		 
49.00	0.000E+00	 
50.00		 
51.00	0.000E+00	 
52.00		 
53.00	0.000E+00	 
54.50		 
55.99	0.000E+00	 
57.00		4.178E-04
57.99	6.002E-06	 
59.00		1.257E-03
59.99	2.403E-05	 
61.50		7.776E-03
63.00	1.917E-04	 
64.00		1.823E-02
65.00	4.531E-04	 
66.00		3.015E-02
67.00	8.856E-04	 
68.50		4.542E-02
70.00	1.863E-03	 
71.00		6.332E-02
72.00	2.771E-03	 
73.00		7.770E-02
74.00	3.885E-03	 
75.50		8.712E-02
77.00	5.759E-03	 
78.00		1.173E-01
79.00	7.438E-03	 
80.00		1.484E-01
81.00	9.569E-03	 
82.50		1.399E-01
84.00	1.258E-02	 
85.00		1.893E-01
86.00	1.529E-02	 
87.00		1.927E-01
88.00	1.806E-02	 
89.50		1.838E-01
91.00	2.201E-02	 
92.00		2.335E-01
93.00	2.536E-02	 
94.00		2.716E-01
95.00	2.925E-02	 
96.50		2.367E-01
98.00	3.435E-02	 
99.00		2.993E-01
100.00	3.864E-02	 
101.00		3.404E-01
102.00	4.352E-02	 
103.50		9.918E-01
105.00	6.485E-02	 
106.00		9.313E-01
107.00	7.821E-02	 
108.00		9.768E-01
109.00	9.222E-02	 
110.50		8.721E-01
112.00	1.110E-01	 
113.00		1.065E+00
114.00	1.262E-01	 
115.00		1.127E+00
116.00	1.424E-01	 
117.50		1.297E+00
119.00	1.703E-01	 
120.00		1.211E+00
121.00	1.877E-01	 
122.00		1.222E+00
123.00	2.052E-01	 
124.50		1.360E+00
126.00	2.345E-01	 
127.00		1.286E+00
128.00	2.529E-01	 
129.00		1.275E+00
130.00	2.712E-01	 
131.50		1.295E+00
133.00	2.990E-01	 
134.00		1.377E+00
135.00	3.188E-01	 
136.00		1.293E+00
137.00	3.373E-01	 
138.50		1.494E+00
140.00	3.695E-01	 
141.00		1.388E+00
142.00	3.894E-01	 
143.00		1.393E+00
144.00	4.094E-01	 
145.50		1.531E+00
147.00	4.423E-01	 
148.00		1.412E+00
149.00	4.626E-01	 
150.00		1.420E+00
151.00	4.829E-01	 
152.50		1.610E+00
154.00	5.176E-01	 
155.00		1.468E+00
156.00	5.386E-01	 
157.00		1.504E+00
158.00	5.602E-01	 
159.50		1.641E+00
161.00	5.955E-01	 
162.00		1.493E+00
163.00	6.169E-01	 
164.00		1.551E+00
165.00	6.391E-01	 
166.50		1.693E+00
168.00	6.755E-01	 
169.00		1.600E+00
170.00	6.985E-01	 
171.00		1.587E+00
172.00	7.212E-01	 
173.50		1.735E+00
175.04	7.591E-01	 
176.00		1.784E+00
177.04	7.847E-01	 
178.00		1.648E+00
179.04	8.083E-01	 
180.50		1.785E+00
182.04	8.467E-01	 
183.00		1.657E+00
